id,text,media_url,user_name,likes,comments,retweets,google_api
1.10835E+18,b'Who run the world.......\xf0\x9f\x8e\x80\n#legendporsche #porsche #porschegt3 #carswithoutlimits #luxury #amazing #ccw https://t.co/ye1CID7NYH',http://pbs.twimg.com/media/D2Gq0tTVAAAvv2t.jpg,LegendPorsche,17,0,6,"['Land vehicle', 'Vehicle', 'Car', 'Automotive design', 'Automotive exterior', 'Bumper', 'Concept car', 'Sedan', 'Audi']"
1.10478E+18,b'\xf0\x9f\x95\x9aSpring forward \xf0\x9f\x8c\xb8\xf0\x9f\x8c\xbc\n#legendporsche #porsche #springforward #carswithoutlimits #topdown #sunday #sundayvibes https://t.co/72FRR8aM3o',http://pbs.twimg.com/media/D1Tz2YFU8AABN_p.jpg,LegendPorsche,8,0,2,"['Land vehicle', 'Vehicle', 'Car', 'Sports car', 'Automotive design', 'Supercar', 'Convertible', 'Porsche', 'Porsche boxster', 'Performance car']"
1.09872E+18,b'Timeless \xf0\x9f\x92\x99\n#legendporsche #porsche #porsche911 #amazingcars #carswithoutlimits #luxury #luxurycars #thursday https://t.co/VNv7m7WhZV',http://pbs.twimg.com/media/Dz9umemVAAA689L.jpg,LegendPorsche,19,0,4,"['Land vehicle', 'Vehicle', 'Car', 'Supercar', 'Automotive design', 'Sports car', 'Alloy wheel', 'Rim', 'Wheel', 'Performance car']"
1.09756E+18,b'Presidents day Porsche style\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n#legendporsche #porsche #presidentsday #america #redwhiteandblue #monday #mondaymood https://t.co/uIJuGTsYcB',http://pbs.twimg.com/media/DztTR4vVsAAdKBI.jpg,LegendPorsche,13,0,5,"['Land vehicle', 'Vehicle', 'Car', 'Sports car', 'Touring car racing', 'Sports car racing', 'Endurance racing (motorsport)', 'Motorsport', 'Performance car', 'Supercar']"
1.05188E+18,b'Legend Nissan!!!! https://t.co/6mSIqZPPrX',http://pbs.twimg.com/media/DpkDEiRXoAU0F_O.jpg,LegendPorsche,1,0,0,"['Land vehicle', 'Vehicle', 'Car', 'Mid-size car', 'Automotive design', 'Auto show', 'Automotive exterior', 'Sports car', 'Sedan', 'Car dealership']"
8.305E+17,"b'RT @Porsche: One push of the pedal, and suddenly, all other obligations feel optional. #911CarreraGTS https://t.co/vEs2x83djf'",http://pbs.twimg.com/media/C3_05E-WcAAjSJM.jpg,LegendPorsche,1340,23,370,"['Land vehicle', 'Vehicle', 'Car', 'Supercar', 'Automotive design', 'Sports car', 'Performance car', 'Porsche', 'Luxury vehicle', 'Porsche 911 gt3']"
8.25027E+17,b'RT @Porsche: Five-Time #Rolex24 Champion Hurley Haywood Named 2017 Honorary Race Starter @DISupdates https://t.co/EA2Aa3j2Nz',http://pbs.twimg.com/media/C3I6dEmWcAAdaoS.jpg,LegendPorsche,517,6,127,"['Land vehicle', 'Vehicle', 'Car', 'Motorsport', 'Racing', 'Regularity rally', 'Porsche 911 classic', 'Sports car', 'Auto racing', 'Coupé']"
8.22495E+17,"b""RT @PorscheRaces: Isn't the headlamp of our new #911RSR a piece of art? What do you think? https://t.co/SiBPn2SsrO""",http://pbs.twimg.com/media/C1qVYUNWgAEZ_l1.jpg,LegendPorsche,448,18,117,"['Yellow', 'Automotive lighting', 'Auto part', 'Glass', 'Headlamp', 'Vehicle', 'Automotive exterior', 'Car', 'Automotive window part']"
8.20331E+17,b'Happy National Dress Your Pet Up Day! #Porsche #LegendPorsche #nationaldressupyourpetday https://t.co/rLeBXN8toj',http://pbs.twimg.com/media/C2JmpO3WIAAS7P4.jpg,LegendPorsche,1,0,2,"['Mammal', 'Vertebrate', 'Dog', 'Canidae', 'Shiba inu', 'Carnivore', 'Dog breed', 'New guinea singing dog', 'Snout', 'Dingo']"
8.18526E+17,b'RT @Porsche: A new year calls for new resolutions. And a new Panamera. #NewPanamera https://t.co/sDRmRLu7De',http://pbs.twimg.com/media/C1RXcncUsAEqCmC.jpg,LegendPorsche,972,31,279,"['Land vehicle', 'Vehicle', 'Car', 'Luxury vehicle', 'Automotive design', 'Personal luxury car', 'Performance car', 'Sedan', 'Executive car', 'Mid-size car']"
